hhld_num,pers_num,trip_num,trip_purp,start_time,mode_prime,purp_orig,purp_dest,trip_km,trip_man_km,car_pool,region_orig,waterzn_orig,region_dest,waterzn_dest,expf
324240,3,1,1,1430,D,H,W,14,19,1,12,120942,12,121359,14.23
324240,3,2,1,2600,D,W,H,14,19,1,12,121359,12,120942,14.23
550327,2,2,3,1240,B,O,H,1,2,0,12,122070,12,121579,22.58
324301,1,1,3,930,D,H,M,1,1,1,12,121599,12,121227,15.15
324301,1,2,3,1010,D,M,H,1,1,1,12,121227,12,121599,15.15
324301,1,3,3,1030,D,H,O,8,9,1,12,121599,12,121177,15.15
324301,1,4,3,1200,D,O,H,8,9,1,12,121177,12,121599,15.15
324301,1,6,3,1830,D,O,H,2,3,2,12,121608,12,121599,15.15
324301,2,1,3,1730,P,H,O,2,3,0,12,121599,12,121608,15.15
222816,1,1,3,1200,D,H,M,1,1,1,12,122059,12,121227,29.1
197795,1,1,1,730,D,H,W,5,6,1,12,120067,12,121127,8.59
197795,1,2,1,1700,D,W,H,5,6,1,12,121127,12,120067,8.59
197795,2,2,1,1900,D,W,H,4,5,1,12,120986,12,120067,8.59
556921,3,1,1,600,D,H,W,28,37,1,12,121409,13,0,31.72
557916,3,5,3,2155,D,O,H,8,12,2,12,120002,12,120008,38
559103,2,1,1,650,D,H,W,23,24,1,12,121497,13,0,14.19
560636,2,1,1,730,B,H,W,22,30,0,12,121920,13,0,33.71
324428,3,4,3,1530,P,H,O,1,2,0,12,122142,12,122143,23.56
324428,3,5,3,1545,P,O,H,1,2,0,12,122143,12,122142,23.56
324428,3,6,3,1700,P,H,O,1,1,0,12,122142,12,120334,23.56
324428,3,7,3,2100,P,O,H,1,1,0,12,120334,12,122142,23.56
564655,2,1,1,500,D,H,W,19,26,1,12,120058,13,0,59.55
197916,1,3,4,1320,D,M,M,11,15,2,12,121533,12,121445,9.95
197916,1,4,3,1400,D,M,H,2,3,2,12,121445,12,120349,9.95
570216,1,1,3,745,D,H,O,25,32,1,12,121401,13,0,12.22
324535,1,1,3,1300,D,H,M,3,3,1,12,121828,12,121613,10.44
324535,1,2,3,1445,D,M,H,3,3,1,12,121613,12,121828,10.44
324541,4,1,1,845,D,H,W,6,8,1,12,122065,12,120945,35.35
324541,4,2,1,1800,D,W,H,6,8,1,12,120945,12,122065,35.35
324542,1,2,4,1800,D,W,R,2,3,1,12,121939,12,120942,30.09
324542,1,4,1,2145,D,W,H,9,13,1,12,121615,12,120074,30.09
635702,1,1,1,700,D,H,W,22,30,1,12,121030,13,0,15.7
324619,1,1,3,1000,D,H,M,0,0,1,12,121261,12,121265,10.89
324619,1,2,3,1100,D,M,H,0,0,1,12,121265,12,121261,10.89
324639,1,1,3,1100,D,H,F,3,5,2,12,121406,12,121882,22.59
324639,1,2,3,1130,D,F,H,3,5,1,12,121882,12,121406,22.59
324639,1,3,3,1430,D,H,O,11,14,1,12,121406,12,120075,22.59
324639,1,7,3,2000,D,H,F,80,102,2,12,121406,4,0,22.59
324639,2,3,3,2000,P,H,O,80,102,0,12,121406,4,0,22.59
577318,1,1,3,1330,W,H,O,2,3,0,12,122063,12,120074,17.01
577318,1,2,3,1500,W,O,H,2,3,0,12,120074,12,122063,17.01
324650,1,1,1,730,D,H,W,7,9,1,12,121399,12,121610,14.62
324650,1,2,1,1530,D,W,H,7,9,1,12,121610,12,121399,14.62
324650,1,3,3,1615,D,H,O,4,6,2,12,121399,12,120963,14.62
214663,1,2,3,2030,P,O,H,48,65,0,98,0,12,120066,15.08
324650,2,1,1,730,D,H,W,4,4,1,12,121399,12,121692,14.62
324650,2,2,1,1700,D,W,H,4,4,1,12,121692,12,121399,14.62
324650,2,3,3,1730,D,H,M,1,1,2,12,121399,12,121095,14.62
324650,2,4,3,1800,D,M,H,1,1,2,12,121095,12,121399,14.62
863006,2,1,1,745,D,H,W,26,37,1,12,121426,13,0,23.1
340555,1,1,1,400,D,H,W,14,19,1,12,122094,12,120284,25.93
868176,1,1,1,715,D,H,W,16,23,1,12,120064,13,0,19.15
869404,1,2,3,1215,D,O,H,0,1,1,12,120045,12,120045,28.88
199389,3,2,1,1630,D,W,H,2,3,1,12,120363,12,121046,16.82
199389,4,1,1,745,D,H,W,12,12,1,12,121046,12,120781,16.82
199389,4,2,1,1730,D,W,H,12,12,1,12,120781,12,121046,16.82
334190,2,1,3,1330,D,H,O,225,294,1,12,120071,98,0,24.01
199685,1,4,3,1205,D,M,H,2,4,1,12,121265,12,121065,13.3
806032,2,1,3,1815,P,H,O,22,25,0,12,120783,13,0,25.72
806133,4,1,1,1000,D,H,W,14,20,1,12,122060,13,0,30.93
850684,1,2,4,730,D,O,W,19,27,1,12,122119,13,0,15.67
