hhld_num,dwell_type,income,n_person,n_vehicle,n_licence,n_emp_ft,n_emp_pt,n_emp_home,n_student,n_hhld_trip,region_hhld,pd_hhld,waterzn_hhld,expf,Pop
125221,1,3,2,2,2,0,1,0,0,7,12,65,121492,10.21,20.42
125386,2,4,2,2,2,0,0,0,0,4,12,63,121108,13.3,26.6
125547,2,4,1,1,1,0,1,0,0,2,12,63,120991,13.43,13.43
125999,1,7,2,2,2,0,1,0,0,7,12,67,120202,16.08,32.16
126605,1,3,2,1,2,1,0,0,0,4,12,65,122125,12.05,24.1
126659,2,4,1,1,1,1,0,1,0,4,12,63,121117,15.3,15.3
127485,1,4,2,2,2,1,0,0,1,2,12,69,121008,34.66,69.32
127557,2,2,1,0,1,0,0,0,0,2,12,64,121943,15.3,15.3
127730,1,1,5,3,4,0,3,0,5,17,12,63,121114,8.24,41.2
127812,1,2,1,1,1,1,0,0,0,2,12,64,120374,23.3,23.3
127848,1,7,6,3,99,3,1,1,2,7,12,64,122088,16.46,98.76
127863,3,6,1,1,1,1,0,0,0,2,12,64,122081,27.31,27.31
127945,1,4,2,2,2,0,0,0,0,5,12,64,120067,12.33,24.66
127982,2,5,1,1,1,0,0,0,0,4,12,63,121108,12.44,12.44
128230,1,5,4,2,2,2,0,0,2,4,12,64,122078,27.48,109.92
128509,1,5,4,3,3,1,2,0,2,27,12,65,120394,23.89,95.56
128522,3,5,2,1,1,0,0,0,0,9,12,63,121298,15.46,30.92
128550,3,7,2,1,2,2,0,0,1,11,12,63,120351,9.15,18.3
128907,2,3,2,1,1,0,1,0,0,6,12,65,122023,23.76,47.52
128948,1,7,2,2,2,1,1,0,0,4,12,64,122089,8.43,16.86
128978,1,5,1,1,1,1,0,0,0,4,12,64,121415,29.95,29.95
129258,1,6,2,2,2,0,1,1,0,4,12,69,120797,11.76,23.52
129298,1,6,2,2,2,2,0,0,0,6,12,64,120297,10.9,21.8
