hhld_num,pers_num,age,sex,driver_lic,tran_pass,emp_stat,occupation,free_park,stu_stat,no_work,n_pers_trip,n_tran_trip,waterzn_emp,waterzn_sch,expf,waterzn_emp
351802,4,12,M,N,N,O,O,O,S,O,2,0,0,122110,22.52,0
357701,4,15,F,N,N,O,O,O,S,O,7,0,0,121411,30.9,0
357781,1,47,F,Y,N,O,O,O,S,O,2,0,0,121923,13.41,0
456839,2,22,F,Y,O,O,O,O,S,O,2,0,0,120025,54.11,0
4448421,4,14,F,N,N,O,O,O,S,O,0,0,0,121493,17.66,0
362843,3,20,F,Y,O,O,O,O,S,O,0,0,0,121090,30.24,0
368172,3,13,F,N,N,O,O,O,S,O,0,0,0,121262,23.67,0
575701,3,22,F,Y,N,O,O,O,S,O,1,0,0,120025,42.16,0
323655,4,15,M,N,N,O,O,O,S,O,4,0,0,121411,19.99,0
582898,1,33,M,Y,N,O,O,O,S,O,3,0,0,120082,35.03,0
532907,2,19,F,9,O,O,O,O,S,O,2,0,0,121090,21.45,0
532907,5,20,F,9,O,O,O,O,S,O,2,0,0,121090,21.45,0
741265,3,18,M,Y,N,O,O,O,S,O,2,0,0,121959,115.01,0
868412,2,29,M,Y,O,O,O,O,S,O,4,3,0,120082,16.91,0
613968,1,41,F,Y,N,O,O,O,S,O,5,0,0,122073,13.96,0
613968,2,17,M,Y,O,O,O,O,S,O,2,2,0,121882,13.96,0
308199,5,13,F,N,N,O,O,O,S,O,2,0,0,121410,45.3,0
283610,3,15,M,N,N,P,S,9,S,O,2,0,0,120064,37.74,0
230332,3,27,M,Y,N,F,S,9,P,O,2,0,0,120082,13.58,0
355876,2,20,M,Y,N,O,O,O,S,O,2,0,0,120082,28.86,0
685665,1,42,F,Y,N,O,O,O,S,O,4,0,0,120082,15.29,0
776536,3,11,F,N,N,O,O,O,S,O,2,0,0,122125,21.52,0
776680,2,36,M,Y,N,O,O,O,S,O,0,0,0,120082,43.69,0
